createdAt,data_country_count,data_src_country_locode,data_src_country_name,data_src_gov_level,data_type,data_use_type,date_created,date_modified,eligibility,industry_id,industry_other,latitude,longitude,no_org_url,objectId,org_additional,org_confidence,org_description,org_greatest_impact,org_greatest_impact_detail,org_hq_city,org_hq_city_locode,org_hq_country,org_hq_country_income,org_hq_country_income_code,org_hq_country_locode,org_hq_country_region,org_hq_country_region_code,org_hq_st_prov,org_name,org_open_corporates_id,org_profile_category,org_profile_src,org_profile_status,org_profile_year,org_size_id,org_type,org_type_other,org_url,org_year_founded,profile_id,row_type,updatedAt,use_advocacy,use_advocacy_desc,use_org_opt,use_org_opt_desc,use_other,use_other_desc,use_prod_srvc,use_prod_srvc_desc,use_research,use_research_desc
2015-05-27,,,,,,,2015-05-27,2015-05-27,YY,Governance,,30.375321,69.345116,False,imwyzg3G7L,,,Building a new ecosystem of civic innovation in Pakistan.,Governance,,,,PK,Lower middle income,LMC,PK,South Asia,SAS,,Code for Pakistan,,submitted survey,survey,submitted,2015,string,Nonprofit,,http://codeforpakistan.org,2013,hkYFQLEFpT,org_profile,2015-05-27,False,,False,,False,,True,,False,
2015-05-27,,PK,Pakistan,National,Geospatial/mapping,,2015-05-27,2015-05-27,YY,Governance,,30.375321,69.345116,False,qvUJozqQie,,,Building a new ecosystem of civic innovation in Pakistan.,Governance,,,,PK,Lower middle income,LMC,PK,South Asia,SAS,,Code for Pakistan,,submitted survey,survey,submitted,2015,string,Nonprofit,,http://codeforpakistan.org,2013,hkYFQLEFpT,data_use,2015-05-27,False,,False,,False,,True,,False,
