data_src_country_locode,data_src_gov_level,data_type,date_created,date_modified,eligibility,industry_id,latitude,longitude,no_org_url,org_additional,org_confidence,org_description,org_greatest_impact,org_greatest_impact_detail,org_hq_city,org_hq_country,org_hq_country_income,org_hq_country_income_code,org_hq_country_locode,org_hq_country_region,org_hq_st_prov,org_name,org_profile_category,org_profile_src,org_profile_status,org_profile_year,org_size_id,org_type,org_type_other,org_url,org_year_founded,profile_id,row_type,use_advocacy,use_advocacy_desc,use_org_opt,use_org_opt_desc,use_other,use_other_desc,use_prod_srvc,use_prod_srvc_desc,use_research,use_research_desc
,,,2015-05-06,2015-05-06,Y,,-38.416097,-63.616672,False,,4.0,Acadeu es una herramienta web colaborativa orientada a mejorar la educación.,,,,Argentina,Upper middle income,UMC,AR,Latin America & Caribbean,,Acadeu,researched,Datos Buenos Aires,test,2015,,For-profit,,https://acadeu.com/,,1,org_profile,False,,False,,False,,False,,False,
,,,2015-05-06,2015-05-06,Y,,-34.615882,-58.371733,False,,5.0,,,,Buenos Aires,Argentina,Upper middle income,UMC,AR,Latin America & Caribbean,,Boulevard 4,researched,Datos Buenos Aires,test,2015,,For-profit,,http://www.boulevard4.com/,,3,org_profile,False,,False,,False,,False,,False,
